File Size (KB),Read Time (s)
11.05078125,0.01610534362589533
14.96875,0.023021580123895546
11.3720703125,0.017561006625328446
11.15234375,0.013301815999511746
14.0498046875,0.019716775499546202
13.115234375,0.01756367162488459
10.3466796875,0.013063196249277098
15.98828125,0.020039803250256227
17.5,0.022262126749410527
11.447265625,0.01628476249970845
15.310546875,0.017899221749758
18.4443359375,0.02891224449922447
19.98046875,0.03234988175063336
19.529296875,0.022788697375290212
11.7666015625,0.013616928874398582
10.89453125,0.015302512749258312
98.3046875,0.4384801289997995
91.943359375,0.4287919803737168
97.7900390625,0.439782901750732
97.658203125,0.4285000783747819
91.818359375,0.4652192195007956
91.564453125,0.46352239575026033
99.1171875,0.4824961061240174
94.4951171875,0.46431276075054484
98.048828125,0.30985266499919817
97.505859375,0.2981439409995801
91.22265625,0.28983736400005
98.9619140625,0.34129750200008857
97.224609375,0.29831531837589864
92.2275390625,0.2707332231238979
95.3876953125,0.29110951449911227
92.9658203125,0.2824922740001057
35.6123046875,0.12446372074919054
34.11328125,0.09584966399961559
38.0546875,0.08637958399958734
39.7822265625,0.14769245137358666
32.88671875,0.09647514612515806
32.451171875,0.09100766362644208
34.4716796875,0.09854994062516198
31.1484375,0.08938871187456243
39.947265625,0.13564801450047526
30.80078125,0.08543297250071191
33.98046875,0.09636280675113085
34.0283203125,0.10005563737649936
34.9482421875,0.09864753100009693
32.5107421875,0.08346277649980038
39.1533203125,0.10584898187516956
31.16015625,0.04426442524891172
20.4384765625,0.0295618945001479
20.9208984375,0.06743859749985859
25.609375,0.07551212900034443
25.177734375,0.07215795050069573
27.4189453125,0.08333507074894442
27.7744140625,0.07322488762474677
25.93359375,0.04565729312525946
20.458984375,0.0643111602494173
20.091796875,0.03676960575103294
20.541015625,0.07592665824995493
20.1806640625,0.061314243750530295
21.732421875,0.039114143250117195
24.55859375,0.03784940062541864
29.2685546875,0.08165356575045735
24.02734375,0.041552110875272774
21.9619140625,0.030728277624803013
57.78125,0.18264507212552417
53.654296875,0.17274963624913653
57.03515625,0.1732570547483192
50.525390625,0.12914115912462876
56.865234375,0.17103110937569
51.78515625,0.13407754149920947
57.1044921875,0.17600562450024881
51.5302734375,0.10852695950052293
52.828125,0.18240786400019715
57.3896484375,0.17876331499974185
58.8349609375,0.1831777127499663
