File Size (KB),Write Time (s)
11.05078125,0.017213437626196537
14.96875,0.02739380875027564
11.3720703125,0.02024770037496637
11.15234375,0.015727291249277187
14.0498046875,0.022345797249727184
13.115234375,0.019439852499999688
10.3466796875,0.014741955876161228
15.98828125,0.01931289837557415
17.5,0.01917381024941278
11.447265625,0.01961496449985134
15.310546875,0.018315154749871
18.4443359375,0.03701222675044846
19.98046875,0.04077333899840596
19.529296875,0.02645706837574835
11.7666015625,0.015561850124868215
10.89453125,0.01817448137444444
98.3046875,0.2774842723756592
91.943359375,0.2612282026257162
97.7900390625,0.2852602549992298
97.658203125,0.29719255312375026
91.818359375,0.22532420024981548
91.564453125,0.23650350587558933
99.1171875,0.30385568787460215
94.4951171875,0.2753112525006145
98.048828125,0.2913663168765197
97.505859375,0.2900830369999312
91.22265625,0.28198211162634834
98.9619140625,0.3214112576260959
97.224609375,0.2966719988744444
92.2275390625,0.23414925012548338
95.3876953125,0.2993482142501307
92.9658203125,0.2597745458751888
35.6123046875,0.07723232774878852
34.11328125,0.07528173474929645
38.0546875,0.10674936062605411
39.7822265625,0.0861271658759506
32.88671875,0.10575541774960584
32.451171875,0.11582541587449668
34.4716796875,0.07603875975109986
31.1484375,0.07206101900010253
39.947265625,0.08694827725048526
30.80078125,0.09346747325071192
33.98046875,0.07491464437589457
34.0283203125,0.1057070408751315
34.9482421875,0.11418044449965237
32.5107421875,0.05841384199993627
39.1533203125,0.1197351603750576
31.16015625,0.08301299487538927
20.4384765625,0.04116498062467144
20.9208984375,0.029564817374193808
25.609375,0.0899047677503404
25.177734375,0.05001255762545043
27.4189453125,0.05980432424985338
27.7744140625,0.07280752774931898
25.93359375,0.08990642724893405
20.458984375,0.030993538624898065
20.091796875,0.07498877187572361
20.541015625,0.04462688212515786
20.1806640625,0.02830338212515926
21.732421875,0.07937374962602917
24.55859375,0.06490252850016986
29.2685546875,0.09777335774924723
24.02734375,0.08244044800085248
21.9619140625,0.07234001912547683
57.78125,0.17718065775079594
53.654296875,0.15314601937461703
57.03515625,0.15967665925018082
50.525390625,0.1479354417497234
56.865234375,0.16028181212459458
51.78515625,0.14875172537540493
57.1044921875,0.16514092575016548
51.5302734375,0.1159352039994701
52.828125,0.15671075850150373
57.3896484375,0.16250147175014718
58.8349609375,0.17335442724834138
55.2294921875,0.17077653112573898
56.6240234375,0.19333723849922535
50.5947265625,0.15027955750156252
57.8720703125,0.13118910450066323
58.25390625,0.1729156423753011
150.3486328125,0.45775307999974757
151.880859375,0.4547876263750368
157.7255859375,0.4760765481241833
153.5439453125,0.4645087391254492
150.8154296875,0.48008470949935145
155.2158203125,0.46290248537479783
151.47265625,0.4476453288752964
154.544921875,0.4981266187514848
156.6298828125,0.47113006674953795
156.5546875,0.4181035521251033
159.6669921875,0.49309163649922993
150.326171875,0.40415342512460484
153.908203125,0.4516765035004937
159.7587890625,0.4745185470001161
158.1826171875,0.4631039516243618
155.919921875,0.5312794726251013
65.8857421875,0.18722130962487427
69.7626953125,0.19543266799882986
63.0751953125,0.17980984387577337
60.7021484375,0.21575591362488922
67.4130859375,0.18941161549992103
63.9208984375,0.21327982974980841
67.8427734375,0.19252942612547486
65.4169921875,0.19698320137467817
69.185546875,0.19434871912562812
61.341796875,0.1679676557505445
69.5615234375,0.21142789537407225
65.5908203125,0.182274177124782
63.7578125,0.17974096199941414
61.693359375,0.20318651174966362
66.595703125,0.19291258399971412
61.72265625,0.18054133449913934
148.78515625,0.4803337637513323
142.646484375,0.3982495833752182
144.2021484375,0.437042737750744
149.912109375,0.4138231052511401
142.9326171875,0.43827511474955827
140.2421875,0.3830966685000021
144.791015625,0.42239490175052197
148.736328125,0.47551964687590953
143.2099609375,0.401008071625256
144.853515625,0.44559352500073146
144.498046875,0.4472153353744943
148.6416015625,0.4163225054999202
121.935546875,0.34988999862434866
126.009765625,0.40257451350043993
122.1396484375,0.43258146325024427
123.9140625,0.355150412000512
121.9375,0.34744236912592896
126.908203125,0.38530812049975793
125.2255859375,0.35632364187586063
